date,CIPLA.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,MARUTI.NS,ONGC.NS,RELIANCE.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,WIPRO.NS
2025-06-10,0.009394561426565928,0.006920319824732951,0.008665423770271699,0.009233756206402736,0.008158234942745035,0.007818651014652888,0.008649405934705054,0.01326397969634633,0.010939994594456059,0.00827941404252796,0.011903358025906748,0.013577642778253402,0.010279349123998565,0.007353554134829667,0.008099402434028506
2025-06-11,0.009528914580029474,0.007095297800343244,0.008647149820230822,0.009346194492558413,0.009704929764543891,0.007753547126397401,0.008412411656149095,0.012832603420389143,0.010190767571384504,0.00826708563963725,0.011871843810231526,0.013296342309309999,0.00802482533898389,0.007029067266158764,0.008426113476882583
2025-06-12,0.010001563236107234,0.0067824488084178925,0.010000016150180691,0.008413898191956017,0.009183715723238181,0.007935770323893188,0.008301186121518108,0.011010067286305195,0.010087076335430194,0.007022888768402307,0.010498871428788477,0.010998061447138455,0.008635102266904952,0.007118290031725821,0.007805475019871029
2025-06-13,0.01077242454548353,0.006791284968922059,0.009857940359167788,0.008702178597842862,0.009351825669935317,0.00787786260745681,0.009156591323987818,0.011756464458756315,0.010418340456654391,0.0070362447191529625,0.01099676486201293,0.011864878051763962,0.009452720738742051,0.00803645165347469,0.008811032472382607
2025-06-16,0.011369520683392585,0.006909417230017987,0.009856631042428362,0.008868906933468274,0.009422895260046542,0.008181784691310656,0.009693317004087838,0.01203163680356827,0.010934641262857111,0.007080283074131713,0.011257201205200719,0.013878426990534808,0.010036837323782589,0.008781432807161397,0.008731927437483978
2025-06-17,0.010057553272619337,0.006772296488076715,0.008591810465540426,0.008692055161034159,0.009443187212009336,0.008157288623209188,0.009268591447342088,0.010203091511251922,0.010950821667023389,0.007244392769319822,0.010996361027211927,0.013940211871061372,0.010161523047975528,0.008517253454099902,0.00803668711150111
2025-06-18,0.009463376979182217,0.007010743440452593,0.008846759817367803,0.008711038533058262,0.00946318887450731,0.008024706678091882,0.008804962732679403,0.010312814580618227,0.011076983800039969,0.00718675762283293,0.010798793777972708,0.01352124330391324,0.00957700615835996,0.009471809878361149,0.008174115391928274
2025-06-19,0.009614219433302705,0.007003549340074322,0.008591942442153304,0.008728905740438265,0.00938641583606169,0.007298722999083247,0.008702277734715394,0.009716514815365207,0.009760016241881596,0.006956327983780433,0.010614867702752181,0.013539304835154661,0.00960858314476187,0.009541868827314637,0.007668274043032356
2025-06-20,0.009607711616755705,0.007783238089411642,0.008356485575459023,0.009021218042177419,0.009283781445417106,0.007337666621747488,0.008296010546594132,0.009743741621728563,0.009466799044093026,0.00830208518981615,0.010294091503852488,0.013638848311541024,0.009587148939060283,0.009184812252649766,0.007653851780411955
2025-06-23,0.009603612958894872,0.0077848114547063385,0.00787197957350626,0.009025731467691443,0.00967721504567145,0.0069623279181595865,0.0085749477666163,0.009846016515982686,0.009372288159096742,0.008308729664245498,0.010037143692652697,0.013351229400930878,0.01012054182061981,0.009126089282805368,0.007687100153628921
